run,model,dataset,prequential_scores,time,memory
4,AutoClass,electricity,0.883253884180791,524.997882604599,95.69921875
5,AutoClass,electricity,0.8864980579096046,657.032853603363,15.1484375
1,AutoClass,forest_cover,0.9529768748321894,21263.488251686096,83.41015625
2,AutoClass,forest_cover,0.9534312544319222,4848.822774648666,46.51953125
3,AutoClass,forest_cover,0.9529768748321894,21142.975826978683,85.2265625
4,AutoClass,forest_cover,0.9529631057534096,8161.545695066452,47.4453125
5,AutoClass,forest_cover,0.9534243698925323,4587.540882349014,142.66796875
1,AutoClass,hyperplane_high_gradual_drift,0.75837,2388.2628934383392,38.8046875
2,AutoClass,hyperplane_high_gradual_drift,0.758278,2418.0009055137634,33.18359375
3,AutoClass,hyperplane_high_gradual_drift,0.758312,11110.68165898323,37.7578125
